Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
Rest;2021-01-25 15:23:45.2636;17307;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6324;10;NULL
MotorImagery;2021-01-25 15:23:45.5080;17410;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6439;11;NULL
Rest;2021-01-25 15:23:45.5110;17412;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6319;11;NULL
InputWindowChange;2021-01-25 15:23:46.2809;17730;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;2;-1.9396;0.0000;Running;2.9888;9;0.0500;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:23:46.2819;17730;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;2;-1.9396;0.0000;Running;2.9888;9;0.0500;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;RejInput
MotorImagery;2021-01-25 15:23:46.7889;17940;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6545;12;NULL
Rest;2021-01-25 15:23:46.9145;17995;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6134;12;NULL
MotorImagery;2021-01-25 15:23:48.6954;18740;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6446;13;NULL
Rest;2021-01-25 15:23:48.6984;18741;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6042;13;NULL
InputWindowChange;2021-01-25 15:23:57.0433;22105;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;3;-1.9396;0.0000;Running;2.1895;9;0.0500;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:23:59.0561;22887;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6484;14;NULL
InputWindowChange;2021-01-25 15:23:59.0561;22887;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;3;-3.9241;0.0000;Running;2.1895;9;0.0500;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:23:59.0561;22887;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;3;-3.9241;0.0000;Running;2.1895;8;0.1000;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-01-25 15:23:59.6924;23134;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6004;14;NULL
MotorImagery;2021-01-25 15:24:04.6847;25200;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6417;15;NULL
Rest;2021-01-25 15:24:04.8037;25253;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6163;15;NULL
InputWindowChange;2021-01-25 15:24:09.0830;27197;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Open;4;-3.9241;0.0000;Running;2.7588;8;0.1000;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:24:09.7951;27530;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6560;16;NULL
Rest;2021-01-25 15:24:10.0404;27649;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6030;16;NULL
InputWindowChange;2021-01-25 15:24:13.0827;29105;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;NULL;Closed;4;-3.9229;0.0000;Running;2.7588;8;0.1000;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
