Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
InputWindowChange;2021-01-25 15:30:11.8801;21412;7b38f0c796a4069a4297af7f198927d2;anonymous;NULL;Closed;2;-5.1157;0.0000;Running;1.3649;10;0.0500;6;0.0000;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-25 15:30:11.8801;21412;7b38f0c796a4069a4297af7f198927d2;anonymous;NULL;Closed;2;-5.1157;0.0000;Running;1.3649;9;0.1000;6;0.0000;2;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-01-25 15:30:12.1305;21527;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6367;19;NULL
MotorImagery;2021-01-25 15:30:12.1335;21528;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6569;20;NULL
Rest;2021-01-25 15:30:12.7724;21826;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6354;20;NULL
MotorImagery;2021-01-25 15:30:15.9755;23230;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6505;21;NULL
Rest;2021-01-25 15:30:16.2308;23340;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6244;21;NULL
InputWindowChange;2021-01-25 15:30:21.6275;25802;7b38f0c796a4069a4297af7f198927d2;anonymous;NULL;Open;3;-5.1157;0.0000;Running;1.9476;9;0.1000;6;0.0000;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-25 15:30:21.9731;25964;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6705;22;NULL
Rest;2021-01-25 15:30:22.7391;26316;7b38f0c796a4069a4297af7f198927d2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6342;22;NULL
