Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
Rest;2021-01-26 09:12:49.4766;2615;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6952;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:12:49.6173;2625;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7180;16;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:12:52.4539;2823;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;2;-3.9291;0.0000;Running;2.8357;10;0.0500;0;0.0000;8;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:12:52.4549;2823;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;NULL;NULL;NULL;Closed;2;-3.9291;0.0000;Running;2.8357;10;0.0500;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput
Rest;2021-01-26 09:12:53.4074;2890;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6561;16;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:12:54.8396;2992;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7210;17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:12:54.8486;2993;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6818;17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:12:55.2216;3023;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.7024;18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:12:55.3762;3033;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.6650;18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:12:59.5495;3328;1dfb3b79560eaefd9cba4bbe1845a517;anonymous;ReceivingData;0.8039;19;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
