Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
InputWindowChange;2021-01-26 10:52:55.8725;6901;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;6;-6.7825;0.0000;Running;2.1480;10;0.1500;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:52:55.8776;6901;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;6;-6.7825;0.0000;Running;2.1480;11;0.1500;6;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-26 10:52:59.9103;7204;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7245;7
Rest;2021-01-26 10:52:59.9721;7209;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6828;7
InputWindowChange;2021-01-26 10:53:06.2564;7660;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;7;-6.7825;0.0000;Running;2.7241;11;0.1500;6;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:53:08.5329;7826;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7003;8
InputWindowChange;2021-01-26 10:53:08.5339;7826;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;7;-8.4950;0.0000;Running;2.7241;11;0.1500;6;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:53:08.5349;7826;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;7;-8.4950;0.0000;Running;2.7241;10;0.2000;6;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:53:09.0530;7864;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6826;8
InputWindowChange;2021-01-26 10:53:18.4437;8543;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;8;-8.4950;0.0000;Running;2.9668;10;0.2000;6;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
