Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
MotorImagery;2021-01-26 10:59:45.1733;11632;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7214;8
Rest;2021-01-26 10:59:46.9490;11754;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6969;8
InputWindowChange;2021-01-26 10:59:51.4814;12052;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;12;-7.8062;0.0000;Running;1.6774;13;0.2000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:59:52.0748;12092;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7121;9
InputWindowChange;2021-01-26 10:59:52.0748;12092;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;12;-11.1939;0.0000;Running;1.6774;13;0.2000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:59:52.0768;12092;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;12;-11.1939;0.0000;Running;1.6774;12;0.2500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 10:59:52.1735;12098;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6997;9
MotorImagery;2021-01-26 10:59:52.3142;12108;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7088;10
Rest;2021-01-26 10:59:52.4498;12116;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6926;10
MotorImagery;2021-01-26 10:59:57.7082;12476;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7321;11
Rest;2021-01-26 10:59:58.0512;12499;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6924;11
MotorImagery;2021-01-26 10:59:58.0532;12500;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7300;12
Rest;2021-01-26 10:59:59.0753;12570;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6716;12
InputWindowChange;2021-01-26 11:00:02.8768;12831;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;13;-11.1939;0.0000;Running;1.0615;12;0.2500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 11:00:05.2147;12994;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7433;13
InputWindowChange;2021-01-26 11:00:05.2147;12994;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;13;-12.8362;0.0000;Running;1.0615;12;0.2500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 11:00:05.2157;12994;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;13;-12.8362;0.0000;Running;1.0615;11;0.3000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 11:00:06.2380;13066;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6674;13
MotorImagery;2021-01-26 11:00:08.6489;13233;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8068;14
Rest;2021-01-26 11:00:09.5903;13299;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6925;14
InputWindowChange;2021-01-26 11:00:15.1089;13673;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;14;-12.8362;0.0000;Running;2.2446;11;0.3000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 11:00:18.1421;13874;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7003;15
InputWindowChange;2021-01-26 11:00:18.1421;13874;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;14;-13.7845;0.0000;Running;2.2446;11;0.3000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 11:00:18.1431;13874;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;14;-13.7845;0.0000;Running;2.2446;10;0.3500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 11:00:18.1531;13875;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6423;15
MotorImagery;2021-01-26 11:00:25.5527;14386;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7138;16
Rest;2021-01-26 11:00:26.3218;14440;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6224;16
InputWindowChange;2021-01-26 11:00:27.6383;14529;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;15;-13.7845;0.0000;Running;1.6573;10;0.3500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 11:00:28.8840;14614;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7923;17
InputWindowChange;2021-01-26 11:00:28.8870;14614;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;15;-16.5235;0.0000;Running;1.6573;10;0.3500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 11:00:28.8880;14614;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;15;-16.5235;0.0000;Running;1.6573;9;0.4000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 11:00:29.8871;14683;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5321;17
InputWindowChange;2021-01-26 11:00:39.1283;15309;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Open;16;-16.5235;0.0000;Running;1.6416;9;0.4000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 11:00:42.5520;15538;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7373;18
InputWindowChange;2021-01-26 11:00:42.5530;15538;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;16;-17.0763;0.0000;Running;1.6416;9;0.4000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 11:00:42.5570;15538;1d63adebd0521fedbb068400054e3601;anonymous;NULL;Closed;16;-17.0763;0.0000;Running;1.6416;8;0.4500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-26 11:00:43.1905;15579;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6406;18
MotorImagery;2021-01-26 11:00:47.0069;15838;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7321;19
Rest;2021-01-26 11:00:47.6482;15883;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6938;19
MotorImagery;2021-01-26 11:00:48.0404;15907;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7014;20
Rest;2021-01-26 11:00:49.4172;15998;1d63adebd0521fedbb068400054e3601;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6963;20
